"Daily","Evapo-transpiration (in mm)"
"2024-04-24",0.34
"2024-04-25",0
"2024-04-26",0
"2024-04-27",0
"2024-04-28",0.26
"2024-04-29",0.31
"2024-04-30",0.33
"2024-05-01",0.27
"2024-05-02",0.18
"2024-05-03",0.16
"2024-05-04",0.15
"2024-05-05",0.14
"2024-05-06",0.13
"2024-05-07",0.1
"2024-05-08",0.24
"2024-05-09",0.57
"2024-05-10",0.66
"2024-05-11",0.3
"2024-05-12",0.27
"2024-05-13",0.31
"2024-05-14",0.35
"2024-05-15",0.36
"2024-05-16",0.27
"2024-05-17",0.26
"2024-05-18",0.28
"2024-05-19",0.28
"2024-05-20",0.21
"2024-05-21",0.23
"2024-05-22",1.33
"2024-05-23",1.63
"2024-05-24",1.83
"2024-05-25",1.17
"2024-05-26",1.06
"2024-05-27",1.04
"2024-05-28",1.18
"2024-05-29",1.11
"2024-05-30",0.97
"2024-05-31",1.17
"2024-06-01",1.09
"2024-06-02",1.08
"2024-06-03",0.9
"2024-06-04",0.95
"2024-06-05",0.96
"2024-06-06",0.91
"2024-06-07",0.73
"2024-06-08",0.71
"2024-06-09",0.71
"2024-06-10",0.7
"2024-06-11",0.82
"2024-06-12",0.96
"2024-06-13",0.85
"2024-06-14",0.85
"2024-06-15",0.83
"2024-06-16",0.77
"2024-06-17",0.76
"2024-06-18",0.73
"2024-06-19",0.63
"2024-06-20",0.97
"2024-06-21",0.79
"2024-06-22",0.56
"2024-06-23",0.64
"2024-06-24",0.64
"2024-06-25",0.53
"2024-06-26",0.46
"2024-06-27",1.39
"2024-06-28",0.88
"2024-06-29",0.74
"2024-06-30",0.84
"2024-07-01",2.23
"2024-07-02",3.08
"2024-07-03",3.85
"2024-07-04",4.04
"2024-07-05",3.39
"2024-07-06",3.78
"2024-07-07",4.25
"2024-07-08",4.52
"2024-07-09",4.17
"2024-07-13",0.55
"2024-07-14",2.78
"2024-07-15",4.51
"2024-07-16",4.22
"2024-07-17",4.22
"2024-07-18",4.24
"2024-07-19",4.12
"2024-07-20",3.93
"2024-07-21",3.89
"2024-07-22",4.06
"2024-07-23",3.71
"2024-07-24",3.72
"2024-07-25",0
"2024-07-26",3.54
"2024-07-27",3.59
"2024-07-28",3.24
"2024-07-29",3.17
"2024-07-30",3.13
"2024-07-31",3.27
"2024-08-01",3.91
"2024-08-02",5.09
"2024-08-03",5.19
"2024-08-04",5.28
"2024-08-05",4.23
"2024-08-06",3.07
"2024-08-07",4.14
"2024-08-08",4.92
"2024-08-09",4.38
"2024-08-10",5.25
"2024-08-11",5.23
"2024-08-12",5.21
"2024-08-13",5.02
"2024-08-14",4.29
"2024-08-15",5.3
"2024-08-16",5.36
"2024-08-17",5.44
"2024-08-18",5.61
"2024-08-19",5.32
"2024-08-20",5.3
"2024-08-21",4.98
"2024-08-22",3.98
"2024-08-23",4.42
"2024-08-24",4.94
"2024-08-25",4.63
"2024-08-26",4.44
"2024-08-27",4.44
"2024-08-28",4.77
"2024-08-29",4.63
"2024-08-30",4.99
"2024-08-31",4.44
"2024-09-01",3.6
"2024-09-02",4.47
"2024-09-03",5.13
"2024-09-04",4.52
"2024-09-05",5.03
"2024-09-06",4.7
"2024-09-07",4.74
"2024-09-08",0
"2024-09-09",4.17
